case_number,source,prompt,evaluation_seed,coco_id
12276,coco-30k,a couple of sgns are on poles in the ground,46080,273123
12277,coco-30k,A boy is laying on a bench in a park.,31225,360818
12278,coco-30k,A train traveling through rural countryside lined with trees.,69985,39670
12279,coco-30k,a yellow train parked at a platfrom with a bright light ,85500,430218
12280,coco-30k,A white bus driving down a street next to power line.,34368,60128
12281,coco-30k,A very tall building sitting on the side of a road.,32835,209901
12282,coco-30k,Two trains that are on the rails near a station.,16670,394635
12283,coco-30k,Two birds that are standing on rocks near the water.,22299,322894
12284,coco-30k,A herd of giraffe standing on top of a grass covered field.,46550,47071
12285,coco-30k,a red train is riding down the tracks ,5388,539445
12286,coco-30k,A blue bus picking up a load of people.,86757,377723
12287,coco-30k,A flock of swan swimming on top of a river.,34107,424940
12288,coco-30k,A city with lots of tall buildings and a gash station.,30654,236674
12289,coco-30k,The Giraffes are almost camouflaged in the terrain behind them.,72783,504024
12290,coco-30k,A giraffe is standing erect on a dirt path and grass and trees are in the background.,32672,421009
12291,coco-30k,A black bird eating an apple on the ground in the woods.,27527,282600
12292,coco-30k,A giraffe that is standing in the grass.,51089,511138
12293,coco-30k,A sign hanging off the side of a wooden pole.,18069,64884
12294,coco-30k,a tall tower next to a train track,54315,5033
12295,coco-30k,A red trolley car driving down a parking lot.,6061,82846
12296,coco-30k,The stop sign has stenciled spray paint on it. ,93136,571008
12297,coco-30k,A woman and a dog sit on a city bench in this black and white photograph.,12634,198176
12298,coco-30k,"Two children under a ""Sesame Street"" sign on a light post.",63116,217137
12299,coco-30k,A green street sign hanging from a metal pole.,57105,381842
12300,coco-30k,A view of someone in the sky parachuting to the ground.,85223,137265
12301,coco-30k,A blue and yellow train going down the train track,96892,408501
12302,coco-30k,a blue sign in the sidewalk of a walking trail,43397,28156
12303,coco-30k,A small bird standing on top of a sidewalk.,84586,354121
12304,coco-30k,A rustic iron fence with bushes in front of it and a blue information sign.,33783,393212
12305,coco-30k,a couple of different types of signs on the outside,14771,99984
12306,coco-30k,A cat wearing a hat while resting it's paws on top of a chair.,89908,89271
12307,coco-30k,a school bus parked in front of a brick school,31790,534036
12308,coco-30k,there is a red bus that is parked outside,55630,494571
12309,coco-30k,A street light sitting next to a building on the side of a road.,1090,148909
12310,coco-30k,A yellow end sign sitting on the side of a field.,17733,375914
12311,coco-30k,The cowgirl is waiting for her turn at the event.,63608,441009
12312,coco-30k,there is a close up picture of a train going down the tracks,72949,69553
12313,coco-30k,A large white sheep cake sitting on top of a foil plate.,51097,363793
12314,coco-30k,A man wearing a hat while standing next to a body of water.,53867,353866
12315,coco-30k,A large white bus driving down a street next to a sign.,47954,524216
12316,coco-30k,A black bird flying over a body of water.,41832,542234
12317,coco-30k,A tall giraffe standing next to a herd of deer.,61893,500422
12318,coco-30k,People wait at a public transport station in Thailand.,10058,387850
12319,coco-30k,A green street sign sitting below a large tree.,94281,21382
12320,coco-30k,Two cars stopped on a street near buildings and stop signs,84021,433904
12321,coco-30k,there is a large military jet flying in the air,19736,441440
12322,coco-30k,a white bus is on a busy street,24889,393578
12323,coco-30k,A train with graffiti moves along the railroad tracks.,87110,520433
12324,coco-30k,A train traveling down train tracks next to a lush green forest.,43031,519801
12325,coco-30k,A couple of giraffe standing next to each other.,2932,364075
12326,coco-30k,An old wooden bench sitting beside a bush,2278,257673
12327,coco-30k,A black bird sitting next to a couple of people in chairs.,90081,494188
12328,coco-30k,A pair of men wearing waders stand in shallow water.,69200,13132
12329,coco-30k,Someones hand holding on to their bike while beside a road with a bunch of sheep,17358,245642
12330,coco-30k,A pond with two ducks swimming on top of it.,26179,396779
12331,coco-30k,a little girl sitting in front of a cake plate.,26186,206620
12332,coco-30k,An old man wearing a red tie and a black vest.,45692,232597
12333,coco-30k,A car parked behind a fence next to a red train.,26054,423804
12334,coco-30k,a bed with some black bags on it,11042,444777
12335,coco-30k,A train covered in lots of graffiti on train tracks.,624,479832
12336,coco-30k,A long train parked in front of a train station next to a  loading platform.,9506,125815
12337,coco-30k,A woman standing under a red stop sign on a green yard.,93120,217509
12338,coco-30k,A couple of men walking along a river.,51230,63397
12339,coco-30k,A large green gate sitting in front of a red brick building.,35869,521098
12340,coco-30k,A giraffe standing next to a palm tree.,15388,506540
12341,coco-30k,a black and white cat wearing a little purple hat,28330,286708
12342,coco-30k,A blurry photo of a train riding along,77101,273354
12343,coco-30k,There are many birds flying above the water.,52737,312191
12344,coco-30k,A red and white fire hydrant on a sidewalk at the park.,59470,545000
12345,coco-30k,A bird with a bright beak standing by the waves,36870,363606
12346,coco-30k,A train traveling under a bridge next to a bunch of trees.,65050,409241
12347,coco-30k,A park with lots of benches under trees.,14597,413404
12348,coco-30k,A long bench sitting next to a large fence.,50581,210976
12349,coco-30k,A bench sitting on top of a grass covered hillside.,19087,172271
12350,coco-30k,A cat laying on top of a wooden bench.,1653,469424
12351,coco-30k,A giraffe eating grass from a stick near a bridge.,33618,290828
12352,coco-30k,A red stop sign sitting under two green street signs.,36537,227523
12353,coco-30k,A street covered in pink confetti next to a red fire hydrant.,52860,272925
12354,coco-30k,A small white dog standing next to a red fire hydrant.,2535,236904
12355,coco-30k,A bus travels on a road near buildings and parked vehicles,5386,334405
12356,coco-30k,A bus parked in front of a bus stop.,12887,155401
12357,coco-30k,A bench sitting along side of river next to tree.,37531,126701
12358,coco-30k,A man walking behind a city bus next to a building.,27785,197130
12359,coco-30k,A couple of birds having sex on top of a river.,91397,246452
12360,coco-30k,A herd of sheep walking across a road.,75644,317969
12361,coco-30k,a large citi bus in the street around some trees,30329,222054
12362,coco-30k,A city street filled with lots of traffic and pedestrians.,13275,220690
12363,coco-30k,A bus window with finger writing on it.,53157,441788
12364,coco-30k,A herd of sheep standing on top of a lush green hill.,12841,425608
12365,coco-30k,A couple of brown cows standing by the side of a road.,73086,90738
12366,coco-30k,some road signs besides a road in the street,58497,347172
12367,coco-30k,A yellow and white bus driving down a street.,76001,442582
12368,coco-30k,a red traffic light sitting next to a  brick wall.,70298,417716
12369,coco-30k,A red fire hydrant sitting next to a wooden wall.,71190,474711
12370,coco-30k,A bench on a road side with a quilt covering it.,66368,350607
12371,coco-30k,A double deck tour bus parked at a stop.,43550,466346
12372,coco-30k,A fire hydrant with a hose sticking out of it's side.,82372,571865
12373,coco-30k,A red fire hydrant sitting on the side of a road.,44549,441468
12374,coco-30k,A small baby giraffe sitting on concrete next to an older adult giraffe.,50843,178796
12375,coco-30k,a couple of pictures that have some people and some fire hyrdons,49739,88848
12376,coco-30k,A small boat in the ocean with four seagulls standing on it.,4205,76107
12377,coco-30k,A very long shiny train on a bridge over some cars.,6477,260447
12378,coco-30k,"two benches, a small statue and some street signs stand between a street curb and the brick facade of a large building. ",46548,423508
12379,coco-30k,a big bus that has some people by it,22565,101053
12380,coco-30k,a big group of people next to a umbrella,43712,436348
12381,coco-30k,a lady and man standing next to a fire hyrdgen,16858,339058
12382,coco-30k,A large lizard sitting on stone steps with three birds.,28248,578236
12383,coco-30k,A small bird is standing on the concrete,69719,509719
12384,coco-30k,A picture of a shaded walk way and benches. ,10125,396404
12385,coco-30k,Two birds flying in the sky over a lake,91804,544811
12386,coco-30k,Several people crossing at an intersection with traffic lights. ,46212,35891
12387,coco-30k,A bird on top of a large clock.,59420,160661
12388,coco-30k,Multiple lane road in large city on sunny day.,32371,365611
12389,coco-30k,A picture of someone's backyard patio area with a blooming cherry tree.,73251,260099
12390,coco-30k,Commuter rail trains on tracks in large urban area.,76388,520503
12391,coco-30k,a bunch of airplanes that are flying through the air,46442,357829
12392,coco-30k,The reflection of a woman  in a rear view mirror standing next to a bus taking a picture,57177,198486
12393,coco-30k,A dog wearing a yellow hat with a smiley face on it.,86580,410168
12394,coco-30k,A sheep standing in grass next to a rock wall.,9452,46804
12395,coco-30k,a large air plane on a terminal ,79096,13348
12396,coco-30k,Giraffe standing in open area near trees with mouth open.,35353,566699
12397,coco-30k,An older model passenger bus in a city.,2882,548879
12398,coco-30k,Some very cute sheep by some very big trees.,42773,91136
12399,coco-30k,A yellow fire hydrant is standing in the snow. ,57032,125084
12400,coco-30k,"A man smiling in a suit and tie, wearing a hat.",36898,497825
12401,coco-30k,A train is being driven down the railroad tracks.,43353,263866
12402,coco-30k,A red fire hydrant with two red poles beside it.,1239,467484
12403,coco-30k,A truck stopped at an intersection where construction barriers are up.,80900,178156
12404,coco-30k,The birds are standing on the grass and dirt.,94995,505565
12405,coco-30k,An older white motorhome pulled over on the side of a highway.,65751,244005
12406,coco-30k,a fire hydrant on a sidewalk near a street,83421,327149
12407,coco-30k,A traffic sign is displayed on a freeway.,85701,328098
12408,coco-30k,An animal is walking along in a wooded area.,15431,518729
12409,coco-30k,An old iron square steam train pulling gray passenger cars down a track past a bicyclist.,99204,50354
12410,coco-30k,A train pulling into the station in a city.,77261,155443
12411,coco-30k,a dog carrying a bird in its mouth,29830,374564
12412,coco-30k,The view out a train window passing along a wall.,20979,281660
12413,coco-30k,a man in a hat is in a crowd,42356,106344
12414,coco-30k,A shopping center with parking lot along a busy street.,51884,234910
12415,coco-30k,A fire hydrant on a sidewalk along a street.,18946,159203
12416,coco-30k,A woman standing next to a princess parking only sign.,69787,488710
12417,coco-30k,A goat stands in front of a man poorly dressed.,11148,569849
12418,coco-30k,A cat in front of a wooden bench in a garden.,7461,279145
12419,coco-30k,The small bird is standing on the back of a metallic chair. ,99831,362023
12420,coco-30k,a giraffe in a field with a person near trees ,30092,4286
12421,coco-30k,some street signs sitting on a pole next to a street light ,94107,219514
12422,coco-30k,A group of giraffes and a couple of deer stand in the dust.,61312,6874
12423,coco-30k,a street sign on the corner of a city street ,64562,58701
12424,coco-30k,An all way stop sign on a sidewalk area.,54942,431686
12425,coco-30k,Two birds that are sitting in a marsh area.,5499,4283
12426,coco-30k,One of the three giraffe is eating from a tree. ,67905,28508
12427,coco-30k,A couple of signs mounted to the sides of a building.,38326,513149
12428,coco-30k,A blue sign giving directions to a public toilet.,45646,267946
12429,coco-30k,A very long blue and white bus pulling out of a parking lot.,47014,289883
12430,coco-30k,A red stop sign sitting below a tall building.,43839,260257
12431,coco-30k,A single giraffee standing in a dried field.,33450,297537
12432,coco-30k,A snowy city street with a french stop sign.,80689,16931
12433,coco-30k,A bridge built over a water is shining lights at dusk.,25663,216695
12434,coco-30k,A train engine carrying carts down a track.,17473,325919
12435,coco-30k,An older model double deck tour bus sitting on a road side.,78550,189773
12436,coco-30k,a small bird is standing on a tree outside,46744,33532
12437,coco-30k,"The red, double decker bus is driving past other buses. ",66783,1584
12438,coco-30k,a man is standing next to a stop sign outside,99475,342051
12439,coco-30k,A man holding a small white dog while wearing a black hat.,77822,236166
12440,coco-30k,A woman sitting on top of a bed with curtains hanging over it.,15395,252294
12441,coco-30k,A woman sitting on top of a park bench in a field.,40297,542423
12442,coco-30k,A bench sitting in front of a group of vending machines.,57247,165919
12443,coco-30k,a public transit bus on a city street ,11385,241517
12444,coco-30k,Several people helping to load luggage onto a train.,32412,159402
12445,coco-30k,A flock of birds standing on top of a grass hill.,73400,407387
12446,coco-30k,A blue bench sitting under a clock mounted to a wall.,98748,304341
12447,coco-30k,a line of red double decker buses driving down the road ,93256,113828
12448,coco-30k,A train traveling under a rusted bridge on top of tracks.,55857,539143
12449,coco-30k,Two giraffes standing in front of their stables.,34830,221003
12450,coco-30k,A man wearing a glove with a bird on top of it.,40306,440529
12451,coco-30k,A street with market door openings is empty.,45188,466921
12452,coco-30k,A train covered in graffiti sitting on top of  train tracks.,5983,371638
12453,coco-30k,A silver airplane flying low in the sky. ,66577,8548
12454,coco-30k,A train covered in graffiti sitting on top of  train tracks.,73808,312866
12455,coco-30k,An intersection features a directional sign to local towns. ,75861,581887
12456,coco-30k,A trolley driving down a street lined with tall buildings.,27587,559113
12457,coco-30k,A plan flying under a cloudy gray sky.,14118,374383
12458,coco-30k,A bench has been built next to an old stone building. ,90597,330750
12459,coco-30k,A building engulfed of flames sitting on the side of  a street.,19876,382699
12460,coco-30k,A bright green bus is driving in traffic down a road.,80559,439173
12461,coco-30k,a train on a track near a building ,81120,212945
12462,coco-30k,A bird is sitting on a bench in the grass.,13213,391029
12463,coco-30k,A giraffe in a grassy field near a hill.,81014,276195
12464,coco-30k,a close up of three giraffes in a structure near a brick wall,1013,219965
12465,coco-30k,a big giraffe walks across a dirt road ,79904,513778
12466,coco-30k,A train traveling down tracks through a field.,46869,451046
12467,coco-30k,a small boat in a large body of water ,73279,505080
12468,coco-30k,A train traveling past tall white buildings on train tracks.,16545,546659
12469,coco-30k,a red and white passenger bus with a 'final destination 5' billboard on the side of it,74147,177893
12470,coco-30k,A cement wall with a picture on it and a small four door vehicle parked below the picture.,20650,523360
12471,coco-30k,A boy is crossing the street in front of the buses.,92635,396350
12472,coco-30k,The fire hydrant is across the street from street lamps. ,84356,30383
12473,coco-30k,"a yellow and green train, at stop lights.",3493,307598
12474,coco-30k,a couple of sheep graze on some grass ,42430,43758
12475,coco-30k,A picture of two stop lights that are red at a busy intersection. ,11708,24851
12476,coco-30k,A bus parked in front of a building net to a traffic light.,24645,497127
12477,coco-30k,A person standing in front of a stop sign in the dark.,94749,301300
12478,coco-30k,a street light is hanging on a pole,78157,40557
12479,coco-30k,A toy train is driving on a train track.,54213,437145
12480,coco-30k,A train traveling past a forest filled with green trees.,48188,574015
12481,coco-30k,A red fire hydrant is in the snow near a mountain.,8069,416405
12482,coco-30k,A woman smiling while standing next to a giraffe.,96658,377361
12483,coco-30k,The giraffes are spending a lot of time in the forest.,47754,495291
12484,coco-30k,A couple of blue street signs hanging off the sides of a pole.,81234,271452
12485,coco-30k,A herd of giraffe running across a field.,54265,450758
12486,coco-30k,A bus driving across a cross walk near a tall building.,90419,147409
12487,coco-30k,A group of sheep are in a grassy field near a house.,19959,490708
12488,coco-30k,A wood bench sitting in front of a tree.,4509,211047
12489,coco-30k,A scary man wears a hat made out of bananas.,90601,64146
12490,coco-30k,Someone walking down the street and street lights and a one way street sign,25418,481325
12491,coco-30k,A bunch of people standing in the street near the Whitehouse,76535,367275
12492,coco-30k,A woman standing over a sheet cake sitting on top of a table.,32056,1180
12493,coco-30k,A person feeding a giraffe while wearing a hat.,98215,575691
12494,coco-30k,some giraffes rocks plants trees and a building,95114,57107
12495,coco-30k,A bench with two wooden statues sitting behind it.,95929,221521
12496,coco-30k,A big red bus parked on the street near a city,16731,433963
12497,coco-30k,A young couple sit and enjoy their food outside a busy shopping area.,18985,472143
12498,coco-30k,Three giraffes behind a wire fence next to a tree.,89995,540529
12499,coco-30k,A bench with a bunch of stuffed animals and other items on it,14098,200231
12500,coco-30k,Four people sitting on a bench looking at the water,87398,395749
12501,coco-30k,A red and white train traveling along a mountain road.,51724,16499
12502,coco-30k,A busted fire hydrant spewing water out onto a street.,52010,105885
12503,coco-30k,A giraffe near a white door on a brick wall. ,34447,305351
12504,coco-30k,Two birds stand on the edge of a rail. ,99798,388902
12505,coco-30k,A large body of water sitting under a setting sun.,46379,436694
12506,coco-30k,a big school bus drives down the street ,73953,548126
12507,coco-30k,a city bus sits parked as people walk by it,98284,203370
12508,coco-30k,A woman standing next to statues of giraffes.,88538,418109
12509,coco-30k,A black and white cat laying on top of a bench.,82369,146981
12510,coco-30k,a giraffe standing on a sandy beach in front of some rocks,17797,267571
12511,coco-30k,A tour bus is parked along a curb.,41664,254653
12512,coco-30k,Three red stoplights against the background of a sunset..,58021,498010
12513,coco-30k,An adult giraffe grazing on tree leaves in a grassy field.,22630,480345
12514,coco-30k,A sign advertising The Cave Restaurant and Lounge,69999,404601
12515,coco-30k,A small gray bird perched on a tree limb eating the fruit.,23049,316161
12516,coco-30k,A person is bending over to pick something off the ground.,70538,464824
12517,coco-30k,A black and white view of a double decked bus on the street.,7995,308889
12518,coco-30k,A traffic light at an intersection with a skyscraper in the background.,47721,41119
12519,coco-30k,A school bus that is stopped and letting children off the bus.,69235,327089
12520,coco-30k,A stop sign on the corner in front of a row of stores.,87689,100283
12521,coco-30k,Cars parallel-parked on a street with a street-light in the background.,38830,390684
12522,coco-30k,A train going down the tracks that has just gone under a bridge.,57454,290261
12523,coco-30k,A sheep being pet by a group of people.,50697,564098
12524,coco-30k,A clock displaying the time in a passenger bus.,45005,221543
12525,coco-30k,Street signs are advising people to proceed while being aware of their surroundings.,60460,274852
12526,coco-30k,a train is passing a lake by a mountain,99548,151808
12527,coco-30k,A black and white photograph of a woman taking care of a child on a park bench.,85726,328110
12528,coco-30k,A fire hydrant and some debris on the street. ,37467,581262
12529,coco-30k,A train coming down the tracks in a city. ,23932,301333
12530,coco-30k,A photo of a fire hydrant with a cone next to it.,57986,536426
12531,coco-30k,a train is next to a city by the mountains,92965,134844
12532,coco-30k,A man sitting on a bench near a pole.,89284,126833
12533,coco-30k,A sign that is bent on a sidewalk.,40863,499249
12534,coco-30k,A cat sleeping on a pillow next to a book.,83310,423337
12535,coco-30k,A giraffe and ostriches that are in the grass.,90290,368442
12536,coco-30k,An old passenger trolley is on the street.,20088,376625
12537,coco-30k,this is a train coming down a set of rails,10696,574856
12538,coco-30k,"a man in a dress shirt, tie, and a trucker hat",91328,514826
12539,coco-30k,A bunch of brown signs on a pole.,25265,544605
12540,coco-30k,A small child riding a toy tractor near sheep.,63919,447602
12541,coco-30k,A pathway leading to an outdoor open shed.,55422,258529
12542,coco-30k,A fire hydrant that is sitting near a car.,70707,516372
12543,coco-30k,"There is a rugged mountain past the stop sign,",24180,452566
12544,coco-30k,Bus driving along loaded with packages and bags on the luggage rack on the roof.,77221,248087
12545,coco-30k,The stop light found at a Hocken avenue intersection.,24994,149376
12546,coco-30k,A private parking sign under a bridge with writing.,45159,166524
12547,coco-30k,The van drives down the street behind two people walking a dog. ,9725,405021
12548,coco-30k,A large bird flying underneath a cloud blue sky.,88009,86357
12549,coco-30k,The large freight train is pulling many cars of cargo. ,93088,423215
12550,coco-30k,Baby birds walking in a swamp and over reeds.,5468,357824
12551,coco-30k,Two black signs that are on the side of a pole.,76301,556498
12552,coco-30k,A man that is in the air with a skateboard.,43196,406070
12553,coco-30k,A bus that is sitting in the street.,39422,302137
12554,coco-30k,Group of young men standing in fenced area with skateboards.,27457,451573
12555,coco-30k,The red bus is parked at the traffic signal near other cars. ,41666,412793
12556,coco-30k,The fire hydrant next to plants is painted silver. ,78783,440354
12557,coco-30k,A boat that is sitting in the water.,27228,210607
12558,coco-30k,Two green stoplights that are on a pole.,45007,573947
12559,coco-30k,Traffic mirror reflecting the intersection at Race Street.,63813,546782
12560,coco-30k,A group of giraffes that are standing in the grass.,20246,205282
12561,coco-30k,A large group of sheep stand near the water all looking down eating,63658,91564
12562,coco-30k,This is an intersection sign between green lake drive and one other,54950,198915
12563,coco-30k,A bunch of giraffes that are standing in the grass.,33989,170250
12564,coco-30k,Two women that are sitting on a bus.,59270,529355
12565,coco-30k,Large signs are suspended from the buildings above the city street. ,96281,241559
12566,coco-30k,A red light that is on a pole.,58413,19047
12567,coco-30k,A cartoon dog is painted on the side of the passenger bus.,86414,362682
12568,coco-30k,A giraffe and zebras mingle as cars drive out of an animal park.,20368,188173
12569,coco-30k,The head and neck of a giraffe with bare tree branches behind it.,26031,328512
12570,coco-30k,Two giraffes that are standing in the grass.,22266,285788
12571,coco-30k,An orange and black fire hydrant at the edge of a street.,38636,471350
12572,coco-30k,A giraffe that is standing in the grass.,72839,362079
12573,coco-30k,A giraffe that is laying down in the grass.,38608,568700
12574,coco-30k,The lamb is nursing for milk from his mother.,30216,100354
12575,coco-30k,A man standing on the side of a road holding a protest.,70315,364596
12576,coco-30k,A group of pigeons sitting on a park bench.,36248,324139
12577,coco-30k,The rams are sitting on the rocks and boulders. ,11268,91950
12578,coco-30k,A commercial air plane taking off from the runway strip.,26901,427311
12579,coco-30k,A green bus is parked near a city curb.,38044,112702
12580,coco-30k,"A giraffe's head is pictured in this clear, colorful photo.",78607,92109
12581,coco-30k,a bird trying to eat out of a bird house ,41922,169855
12582,coco-30k,OLD RUSTED BOXCARS STILL SITTING ON A SET OF TRACKS,44233,91954
12583,coco-30k,MAN WITH GLASSES KNEELING IN FRONT OF A FIRE HYDRANT,65328,13637
12584,coco-30k,A bus that is sitting on a sidewalk.,98408,53450
12585,coco-30k,Sea faring bird flapping wings while standing on wooden railing at beach.,57440,133149
12586,coco-30k,two airplanes sitting on the air field another going down the runway,31520,565230
12587,coco-30k,An elephant with a person on top of it in a street. ,96247,300246
12588,coco-30k,a sheep is standing on the side of a hill,9153,541991
12589,coco-30k,An old bus is parked in front of a market. ,41577,354088
12590,coco-30k,The white van is driving past the red fire hydrant.,53017,274593
12591,coco-30k,a small sheep is standing in a pin,79619,428562
12592,coco-30k,Two giraffes stand and eat food out of a basket.,99054,536615
12593,coco-30k,A train riding on a track near a platform.,18977,254407
12594,coco-30k,a couple of birds are standing on a gutter,9635,464248
12595,coco-30k,A round picture of a train station with a tall building across the street.,7097,330140
12596,coco-30k,A grey brown bird perched in a pine tree,48491,435671
12597,coco-30k,Two giraffe standing together and looking towards an area of trees and bushes.,49728,72632
12598,coco-30k,A empty bench in a grassy field with yellow flowers surrounding it and a lake and mountains in the background.,73728,270381
12599,coco-30k,A stuffed teddy bear covered in dirt on the ground.,13033,409268
12600,coco-30k,a couple of birds swimming in a lake ,59579,64103
12601,coco-30k,Street signs at the corner of Wadsworth and Amherst,6500,48546
12602,coco-30k,"A double decker bus, and cars on a city street.",31231,260199
12603,coco-30k,A fire hydrant is standing in the middle of a parking lot.,46389,201732
12604,coco-30k,Sheep and rams grazing on a stony hillside.,76218,503431
12605,coco-30k,A wild animal sitting on some rocks in a field.,94360,379156
12606,coco-30k,A mirror that is on a tiled wall.,11085,230247
12607,coco-30k,Aoold rustc sign is standing upright in some grass,69741,37339
12608,coco-30k,A seagull swims toward a rocky shore in a lake.,25417,121384
12609,coco-30k,A group of birds stand on partially water covered ground.,81273,310879
12610,coco-30k,A bus stopped on a street at a cross walk.,67798,399998
12611,coco-30k,A road that has cars driving under a traffic light.,17572,534426
12612,coco-30k,a red double decker bus with a movie poster on the sign of it,7082,136552
12613,coco-30k,"A lone person stands in a large, city scene.",7753,241010
12614,coco-30k,A street corner with a sign and windows on the building.,84067,561164
12615,coco-30k,A bird walking through some gravel as its baby chicks follow.,36396,423830
12616,coco-30k,a black kitty laying on a bench licking its paw,27517,350133
12617,coco-30k,A giraffe standing in the grass near a tree.,10795,91227
12618,coco-30k,a stop sign altered so it says 'stop hammer time',80761,374947
12619,coco-30k,A large statue of an elephant is attached to a business sign.,72245,166563
12620,coco-30k,two giraffe heads standing close to each other,5417,20470
12621,coco-30k,A humorous stop sign is pictured in this image.,31928,555772
12622,coco-30k,a small boy standing in front of a boat,83536,122981
12623,coco-30k,"Two people sit with a small child, who is wearing a large hat, on a park bench.",68944,535259
12624,coco-30k,A subway pulls into a quiet subway station.,38947,476279
12625,coco-30k,A man stands outside of a steam locomotive.,50777,219260
12626,coco-30k,there are many giraffes in a fenced in area,14398,76087
12627,coco-30k,Two street signs are seen on a small street.,2404,91517
12628,coco-30k,this is a group of giraffes walking together,4357,127785
12629,coco-30k,this is a giraffe running in  a pen,81216,106970
12630,coco-30k,A humorous street sign is pictured in this image.,32500,104880
12631,coco-30k,this is a train riding down the tracks,91295,550173
12632,coco-30k,"A stop sign with a sign above it that reads, ""David"". ",84659,151231
12633,coco-30k,a nice train travels next to some trees ,34142,230212
12634,coco-30k,A flock of white sheep in a green field.,98063,190441
12635,coco-30k,A red train with a large engine that's on tracks.,28861,335089
12636,coco-30k,A traffic light in front of a tall building with red lights at the top. ,88356,351559
12637,coco-30k,A fire hydrant on the side of the street.,57969,507135
12638,coco-30k,a person taking a photo of a traffic light on a city street ,76771,435312
12639,coco-30k,a public transit bus on a city street ,1637,423519
12640,coco-30k,The clock for sale has  birds displayed on it.,49137,72989
12641,coco-30k,The woman is holding the dog between her legs.,34793,91612
12642,coco-30k,The stop light has a picture of a bike. ,54347,20796
12643,coco-30k,a sheep in a field with a dog and people watching ,60988,288685
12644,coco-30k,a person that is feeding a big giraffe,9472,554892
12645,coco-30k,A young woman pets and kisses a giraffe.,79795,450081
12646,coco-30k,"The train is on a railroad track, under a signal light.",48861,26226
12647,coco-30k,Three giraffes standing at different locations behind a fence. ,87539,342394
12648,coco-30k,A bird sits on a roof with a tree nearby. ,56896,115106
12649,coco-30k,A train goes down the side of a mountain in the snow. ,24106,571746
12650,coco-30k,A street sign that has been altered with graffiti.,97773,16631
12651,coco-30k,The railroad worker is standing near the end of the train.,37356,441216
12652,coco-30k,a street light with the walk symbol on,98642,2621
12653,coco-30k,a photo of a light pole near a city street ,4143,78056
12654,coco-30k,The animals are grazing and eating in the grass.,23939,154028
12655,coco-30k,She didn't expect that there would be this many birds to feed.,16567,193388
12656,coco-30k,A train is near a track switching station.,60528,161185
12657,coco-30k,The clock has pictures of different birds on the numbers. ,59477,357254
12658,coco-30k,Close up of a red fire hydrant near a sidewalk.,81383,495379
12659,coco-30k,a train of many colors is coming down the track,53704,115118
12660,coco-30k,The miniature blue train is behind a picket fence. ,29740,433499
12661,coco-30k,A group of people are waiting beside the small blue bus. ,33057,102056
12662,coco-30k,a public transit bus on a city street ,67961,144251
12663,coco-30k,"Street sign showing ""Pete Rose Way"" at an intersection.",1178,425933
12664,coco-30k,Graffiti written on an all way stop sign.,28575,133131
12665,coco-30k,A PLANE IS HIGH IN THE SKY ON A VERY CLOUDY DAY,73568,173544
12666,coco-30k,Colorful parrot sitting on top of a peace award in a restaurant. ,82359,69805
12667,coco-30k,A metro bus at night at a bus stop letting people off on the sidewalk.,63854,44269
12668,coco-30k,A passenger train on the tracks going under a bridge.,41449,268000
12669,coco-30k,a big purple bus parked in a parking spot,99495,2006
12670,coco-30k,A bunch of sheep in the snow behind a barbed wire fence.,61720,269196
12671,coco-30k,A couple of goats and a goose in a green field moving about.,40432,557150
12672,coco-30k,A beautiful garden and a dog in the middle,41608,554286
12673,coco-30k,a bird standing on some rocks near the ocean,37783,9142
12674,coco-30k,some yellow signs attached to a building wall ,61341,304012
12675,coco-30k,"A person in the kitchen,  putting a large turkey in the oven. ",54538,533452
12676,coco-30k,"The image shows a leafy backdrop with  part of a fence and a smiling woman, and an eagle swooping, improbably, from right above. ",59098,448211
12677,coco-30k,"A minimally furnished room shows small window pairs with blinds and no curtains, an unmade  double bed with a heavy, taupe duvet, and a white border near the ceiling  with colorful birds trailing in both directions.  ",80755,441535
12678,coco-30k,People walk down the platform next to an Amtrak train.,4421,133537
12679,coco-30k,a jeep driving up to another car. ,83595,42008
12680,coco-30k,two giraffes in a field next to some standing water,10002,256250
12681,coco-30k,a pigeon perched on the arm of a bench,36521,300725
12682,coco-30k,The back end of a bus with a Bus Stop sign in the foreground.,19505,565269
12683,coco-30k,A car that is trying to drive through a flood.,4435,297681
12684,coco-30k,A street sign is seen over a river in a city.,33493,472387
12685,coco-30k,A rusted pair of chairs next to a table outside in the woods. ,38450,298722
12686,coco-30k,A city bus drives down a dark city road.,71807,140783
12687,coco-30k,a close up photo of a stop sign and a street sign,59316,413475
12688,coco-30k,A sign on a bus that welcomes passengers and gives safety instructions. ,55865,350860
12689,coco-30k,A traffic sign that has a picture of a man holding a surfboard on it.,54577,98497
12690,coco-30k,A group of giraffes standing near each other. ,25893,467522
12691,coco-30k,A black and white picture of a large house is shown.,13375,261796
12692,coco-30k,a train car parked in a train yard,43785,116750
12693,coco-30k,a pair of buses going down a divided road,90410,182874
12694,coco-30k,a man is standing near a yellow fire hydrant outside,80691,527573
12695,coco-30k,A tour bus downtown with yoga ads all over it.,32785,194158
12696,coco-30k,A corner street sign with a tow sign and a art piece,83281,42888
12697,coco-30k,a stop light with multiple lights around it,82896,396811
