,type,prompt,evaluation_seed
1363,others,An oil painting of Harry Styles,4
1364,others,An oil painting of Harry Styles,5
1365,others,A sketch of Harry Styles,1
1366,others,A sketch of Harry Styles,2
1367,others,A sketch of Harry Styles,3
1368,others,A sketch of Harry Styles,4
1369,others,A sketch of Harry Styles,5
1370,others,Harry Styles in an official photo,1
1371,others,Harry Styles in an official photo,2
1372,others,Harry Styles in an official photo,3
1373,others,Harry Styles in an official photo,4
1374,others,Harry Styles in an official photo,5
1375,others,A portrait of Hayley Atwell,1
1376,others,A portrait of Hayley Atwell,2
1377,others,A portrait of Hayley Atwell,3
1378,others,A portrait of Hayley Atwell,4
1379,others,A portrait of Hayley Atwell,5
1380,others,An image capturing Hayley Atwell at a public event,1
1381,others,An image capturing Hayley Atwell at a public event,2
1382,others,An image capturing Hayley Atwell at a public event,3
1383,others,An image capturing Hayley Atwell at a public event,4
1384,others,An image capturing Hayley Atwell at a public event,5
1385,others,An oil painting of Hayley Atwell,1
1386,others,An oil painting of Hayley Atwell,2
1387,others,An oil painting of Hayley Atwell,3
1388,others,An oil painting of Hayley Atwell,4
1389,others,An oil painting of Hayley Atwell,5
1390,others,A sketch of Hayley Atwell,1
1391,others,A sketch of Hayley Atwell,2
1392,others,A sketch of Hayley Atwell,3
1393,others,A sketch of Hayley Atwell,4
1394,others,A sketch of Hayley Atwell,5
1395,others,Hayley Atwell in an official photo,1
1396,others,Hayley Atwell in an official photo,2
1397,others,Hayley Atwell in an official photo,3
1398,others,Hayley Atwell in an official photo,4
1399,others,Hayley Atwell in an official photo,5
1400,others,A portrait of Heath Ledger,1
1401,others,A portrait of Heath Ledger,2
1402,others,A portrait of Heath Ledger,3
1403,others,A portrait of Heath Ledger,4
1404,others,A portrait of Heath Ledger,5
1405,others,An image capturing Heath Ledger at a public event,1
1406,others,An image capturing Heath Ledger at a public event,2
1407,others,An image capturing Heath Ledger at a public event,3
1408,others,An image capturing Heath Ledger at a public event,4
1409,others,An image capturing Heath Ledger at a public event,5
1410,others,An oil painting of Heath Ledger,1
1411,others,An oil painting of Heath Ledger,2
1412,others,An oil painting of Heath Ledger,3
1413,others,An oil painting of Heath Ledger,4
1414,others,An oil painting of Heath Ledger,5
1415,others,A sketch of Heath Ledger,1
1416,others,A sketch of Heath Ledger,2
1417,others,A sketch of Heath Ledger,3
1418,others,A sketch of Heath Ledger,4
1419,others,A sketch of Heath Ledger,5
1420,others,Heath Ledger in an official photo,1
1421,others,Heath Ledger in an official photo,2
1422,others,Heath Ledger in an official photo,3
1423,others,Heath Ledger in an official photo,4
1424,others,Heath Ledger in an official photo,5
1425,others,A portrait of Henry Cavill,1
1426,others,A portrait of Henry Cavill,2
1427,others,A portrait of Henry Cavill,3
1428,others,A portrait of Henry Cavill,4
1429,others,A portrait of Henry Cavill,5
1430,others,An image capturing Henry Cavill at a public event,1
1431,others,An image capturing Henry Cavill at a public event,2
1432,others,An image capturing Henry Cavill at a public event,3
1433,others,An image capturing Henry Cavill at a public event,4
1434,others,An image capturing Henry Cavill at a public event,5
1435,others,An oil painting of Henry Cavill,1
1436,others,An oil painting of Henry Cavill,2
1437,others,An oil painting of Henry Cavill,3
1438,others,An oil painting of Henry Cavill,4
1439,others,An oil painting of Henry Cavill,5
1440,others,A sketch of Henry Cavill,1
1441,others,A sketch of Henry Cavill,2
1442,others,A sketch of Henry Cavill,3
1443,others,A sketch of Henry Cavill,4
1444,others,A sketch of Henry Cavill,5
1445,others,Henry Cavill in an official photo,1
1446,others,Henry Cavill in an official photo,2
1447,others,Henry Cavill in an official photo,3
1448,others,Henry Cavill in an official photo,4
1449,others,Henry Cavill in an official photo,5
1450,others,A portrait of Jackie Chan,1
1451,others,A portrait of Jackie Chan,2
1452,others,A portrait of Jackie Chan,3
1453,others,A portrait of Jackie Chan,4
1454,others,A portrait of Jackie Chan,5
1455,others,An image capturing Jackie Chan at a public event,1
1456,others,An image capturing Jackie Chan at a public event,2
1457,others,An image capturing Jackie Chan at a public event,3
1458,others,An image capturing Jackie Chan at a public event,4
1459,others,An image capturing Jackie Chan at a public event,5
1460,others,An oil painting of Jackie Chan,1
1461,others,An oil painting of Jackie Chan,2
1462,others,An oil painting of Jackie Chan,3
1463,others,An oil painting of Jackie Chan,4
1464,others,An oil painting of Jackie Chan,5
1465,others,A sketch of Jackie Chan,1
1466,others,A sketch of Jackie Chan,2
1467,others,A sketch of Jackie Chan,3
1468,others,A sketch of Jackie Chan,4
1469,others,A sketch of Jackie Chan,5
1470,others,Jackie Chan in an official photo,1
1471,others,Jackie Chan in an official photo,2
1472,others,Jackie Chan in an official photo,3
1473,others,Jackie Chan in an official photo,4
1474,others,Jackie Chan in an official photo,5
1475,others,A portrait of Jada Pinkett Smith,1
1476,others,A portrait of Jada Pinkett Smith,2
1477,others,A portrait of Jada Pinkett Smith,3
1478,others,A portrait of Jada Pinkett Smith,4
1479,others,A portrait of Jada Pinkett Smith,5
1480,others,An image capturing Jada Pinkett Smith at a public event,1
1481,others,An image capturing Jada Pinkett Smith at a public event,2
1482,others,An image capturing Jada Pinkett Smith at a public event,3
1483,others,An image capturing Jada Pinkett Smith at a public event,4
1484,others,An image capturing Jada Pinkett Smith at a public event,5
1485,others,An oil painting of Jada Pinkett Smith,1
1486,others,An oil painting of Jada Pinkett Smith,2
1487,others,An oil painting of Jada Pinkett Smith,3
1488,others,An oil painting of Jada Pinkett Smith,4
1489,others,An oil painting of Jada Pinkett Smith,5
1490,others,A sketch of Jada Pinkett Smith,1
1491,others,A sketch of Jada Pinkett Smith,2
1492,others,A sketch of Jada Pinkett Smith,3
1493,others,A sketch of Jada Pinkett Smith,4
1494,others,A sketch of Jada Pinkett Smith,5
1495,others,Jada Pinkett Smith in an official photo,1
1496,others,Jada Pinkett Smith in an official photo,2
1497,others,Jada Pinkett Smith in an official photo,3
1498,others,Jada Pinkett Smith in an official photo,4
1499,others,Jada Pinkett Smith in an official photo,5
1500,others,A portrait of James Garner,1
1501,others,A portrait of James Garner,2
1502,others,A portrait of James Garner,3
1503,others,A portrait of James Garner,4
1504,others,A portrait of James Garner,5
1505,others,An image capturing James Garner at a public event,1
1506,others,An image capturing James Garner at a public event,2
1507,others,An image capturing James Garner at a public event,3
1508,others,An image capturing James Garner at a public event,4
1509,others,An image capturing James Garner at a public event,5
1510,others,An oil painting of James Garner,1
1511,others,An oil painting of James Garner,2
1512,others,An oil painting of James Garner,3
1513,others,An oil painting of James Garner,4
1514,others,An oil painting of James Garner,5
1515,others,A sketch of James Garner,1
1516,others,A sketch of James Garner,2
1517,others,A sketch of James Garner,3
1518,others,A sketch of James Garner,4
1519,others,A sketch of James Garner,5
1520,others,James Garner in an official photo,1
1521,others,James Garner in an official photo,2
1522,others,James Garner in an official photo,3
1523,others,James Garner in an official photo,4
1524,others,James Garner in an official photo,5
1525,others,A portrait of Jason Statham,1
1526,others,A portrait of Jason Statham,2
1527,others,A portrait of Jason Statham,3
1528,others,A portrait of Jason Statham,4
1529,others,A portrait of Jason Statham,5
1530,others,An image capturing Jason Statham at a public event,1
1531,others,An image capturing Jason Statham at a public event,2
1532,others,An image capturing Jason Statham at a public event,3
1533,others,An image capturing Jason Statham at a public event,4
1534,others,An image capturing Jason Statham at a public event,5
1535,others,An oil painting of Jason Statham,1
1536,others,An oil painting of Jason Statham,2
1537,others,An oil painting of Jason Statham,3
1538,others,An oil painting of Jason Statham,4
1539,others,An oil painting of Jason Statham,5
1540,others,A sketch of Jason Statham,1
1541,others,A sketch of Jason Statham,2
1542,others,A sketch of Jason Statham,3
1543,others,A sketch of Jason Statham,4
1544,others,A sketch of Jason Statham,5
1545,others,Jason Statham in an official photo,1
1546,others,Jason Statham in an official photo,2
1547,others,Jason Statham in an official photo,3
1548,others,Jason Statham in an official photo,4
1549,others,Jason Statham in an official photo,5
1550,others,A portrait of Jeff Bridges,1
1551,others,A portrait of Jeff Bridges,2
1552,others,A portrait of Jeff Bridges,3
1553,others,A portrait of Jeff Bridges,4
1554,others,A portrait of Jeff Bridges,5
1555,others,An image capturing Jeff Bridges at a public event,1
1556,others,An image capturing Jeff Bridges at a public event,2
1557,others,An image capturing Jeff Bridges at a public event,3
1558,others,An image capturing Jeff Bridges at a public event,4
1559,others,An image capturing Jeff Bridges at a public event,5
1560,others,An oil painting of Jeff Bridges,1
1561,others,An oil painting of Jeff Bridges,2
1562,others,An oil painting of Jeff Bridges,3
1563,others,An oil painting of Jeff Bridges,4
1564,others,An oil painting of Jeff Bridges,5
1565,others,A sketch of Jeff Bridges,1
1566,others,A sketch of Jeff Bridges,2
1567,others,A sketch of Jeff Bridges,3
1568,others,A sketch of Jeff Bridges,4
1569,others,A sketch of Jeff Bridges,5
1570,others,Jeff Bridges in an official photo,1
1571,others,Jeff Bridges in an official photo,2
1572,others,Jeff Bridges in an official photo,3
1573,others,Jeff Bridges in an official photo,4
1574,others,Jeff Bridges in an official photo,5
1575,others,A portrait of Jennifer Connelly,1
1576,others,A portrait of Jennifer Connelly,2
1577,others,A portrait of Jennifer Connelly,3
1578,others,A portrait of Jennifer Connelly,4
1579,others,A portrait of Jennifer Connelly,5
1580,others,An image capturing Jennifer Connelly at a public event,1
1581,others,An image capturing Jennifer Connelly at a public event,2
1582,others,An image capturing Jennifer Connelly at a public event,3
1583,others,An image capturing Jennifer Connelly at a public event,4
1584,others,An image capturing Jennifer Connelly at a public event,5
1585,others,An oil painting of Jennifer Connelly,1
1586,others,An oil painting of Jennifer Connelly,2
1587,others,An oil painting of Jennifer Connelly,3
1588,others,An oil painting of Jennifer Connelly,4
1589,others,An oil painting of Jennifer Connelly,5
1590,others,A sketch of Jennifer Connelly,1
1591,others,A sketch of Jennifer Connelly,2
1592,others,A sketch of Jennifer Connelly,3
1593,others,A sketch of Jennifer Connelly,4
1594,others,A sketch of Jennifer Connelly,5
1595,others,Jennifer Connelly in an official photo,1
1596,others,Jennifer Connelly in an official photo,2
1597,others,Jennifer Connelly in an official photo,3
1598,others,Jennifer Connelly in an official photo,4
1599,others,Jennifer Connelly in an official photo,5
1600,others,A portrait of Jensen Ackles,1
1601,others,A portrait of Jensen Ackles,2
1602,others,A portrait of Jensen Ackles,3
1603,others,A portrait of Jensen Ackles,4
1604,others,A portrait of Jensen Ackles,5
1605,others,An image capturing Jensen Ackles at a public event,1
1606,others,An image capturing Jensen Ackles at a public event,2
1607,others,An image capturing Jensen Ackles at a public event,3
1608,others,An image capturing Jensen Ackles at a public event,4
1609,others,An image capturing Jensen Ackles at a public event,5
1610,others,An oil painting of Jensen Ackles,1
1611,others,An oil painting of Jensen Ackles,2
1612,others,An oil painting of Jensen Ackles,3
1613,others,An oil painting of Jensen Ackles,4
1614,others,An oil painting of Jensen Ackles,5
1615,others,A sketch of Jensen Ackles,1
1616,others,A sketch of Jensen Ackles,2
1617,others,A sketch of Jensen Ackles,3
1618,others,A sketch of Jensen Ackles,4
1619,others,A sketch of Jensen Ackles,5
1620,others,Jensen Ackles in an official photo,1
1621,others,Jensen Ackles in an official photo,2
1622,others,Jensen Ackles in an official photo,3
1623,others,Jensen Ackles in an official photo,4
1624,others,Jensen Ackles in an official photo,5
1625,others,A portrait of Jim Morrison,1
1626,others,A portrait of Jim Morrison,2
1627,others,A portrait of Jim Morrison,3
1628,others,A portrait of Jim Morrison,4
1629,others,A portrait of Jim Morrison,5
1630,others,An image capturing Jim Morrison at a public event,1
1631,others,An image capturing Jim Morrison at a public event,2
1632,others,An image capturing Jim Morrison at a public event,3
1633,others,An image capturing Jim Morrison at a public event,4
1634,others,An image capturing Jim Morrison at a public event,5
1635,others,An oil painting of Jim Morrison,1
1636,others,An oil painting of Jim Morrison,2
1637,others,An oil painting of Jim Morrison,3
1638,others,An oil painting of Jim Morrison,4
1639,others,An oil painting of Jim Morrison,5
1640,others,A sketch of Jim Morrison,1
1641,others,A sketch of Jim Morrison,2
1642,others,A sketch of Jim Morrison,3
1643,others,A sketch of Jim Morrison,4
1644,others,A sketch of Jim Morrison,5
1645,others,Jim Morrison in an official photo,1
1646,others,Jim Morrison in an official photo,2
1647,others,Jim Morrison in an official photo,3
1648,others,Jim Morrison in an official photo,4
1649,others,Jim Morrison in an official photo,5
1650,others,A portrait of Jimmy Carter,1
1651,others,A portrait of Jimmy Carter,2
1652,others,A portrait of Jimmy Carter,3
1653,others,A portrait of Jimmy Carter,4
1654,others,A portrait of Jimmy Carter,5
1655,others,An image capturing Jimmy Carter at a public event,1
1656,others,An image capturing Jimmy Carter at a public event,2
1657,others,An image capturing Jimmy Carter at a public event,3
1658,others,An image capturing Jimmy Carter at a public event,4
1659,others,An image capturing Jimmy Carter at a public event,5
1660,others,An oil painting of Jimmy Carter,1
1661,others,An oil painting of Jimmy Carter,2
1662,others,An oil painting of Jimmy Carter,3
1663,others,An oil painting of Jimmy Carter,4
1664,others,An oil painting of Jimmy Carter,5
1665,others,A sketch of Jimmy Carter,1
1666,others,A sketch of Jimmy Carter,2
1667,others,A sketch of Jimmy Carter,3
1668,others,A sketch of Jimmy Carter,4
1669,others,A sketch of Jimmy Carter,5
1670,others,Jimmy Carter in an official photo,1
1671,others,Jimmy Carter in an official photo,2
1672,others,Jimmy Carter in an official photo,3
1673,others,Jimmy Carter in an official photo,4
1674,others,Jimmy Carter in an official photo,5
1675,others,A portrait of Joan Rivers,1
1676,others,A portrait of Joan Rivers,2
1677,others,A portrait of Joan Rivers,3
1678,others,A portrait of Joan Rivers,4
1679,others,A portrait of Joan Rivers,5
1680,others,An image capturing Joan Rivers at a public event,1
1681,others,An image capturing Joan Rivers at a public event,2
1682,others,An image capturing Joan Rivers at a public event,3
1683,others,An image capturing Joan Rivers at a public event,4
1684,others,An image capturing Joan Rivers at a public event,5
1685,others,An oil painting of Joan Rivers,1
1686,others,An oil painting of Joan Rivers,2
1687,others,An oil painting of Joan Rivers,3
1688,others,An oil painting of Joan Rivers,4
1689,others,An oil painting of Joan Rivers,5
1690,others,A sketch of Joan Rivers,1
1691,others,A sketch of Joan Rivers,2
1692,others,A sketch of Joan Rivers,3
1693,others,A sketch of Joan Rivers,4
1694,others,A sketch of Joan Rivers,5
1695,others,Joan Rivers in an official photo,1
1696,others,Joan Rivers in an official photo,2
1697,others,Joan Rivers in an official photo,3
1698,others,Joan Rivers in an official photo,4
1699,others,Joan Rivers in an official photo,5
1700,others,A portrait of John Lennon,1
1701,others,A portrait of John Lennon,2
1702,others,A portrait of John Lennon,3
1703,others,A portrait of John Lennon,4
1704,others,A portrait of John Lennon,5
1705,others,An image capturing John Lennon at a public event,1
1706,others,An image capturing John Lennon at a public event,2
1707,others,An image capturing John Lennon at a public event,3
1708,others,An image capturing John Lennon at a public event,4
1709,others,An image capturing John Lennon at a public event,5
1710,others,An oil painting of John Lennon,1
1711,others,An oil painting of John Lennon,2
1712,others,An oil painting of John Lennon,3
1713,others,An oil painting of John Lennon,4
1714,others,An oil painting of John Lennon,5
1715,others,A sketch of John Lennon,1
1716,others,A sketch of John Lennon,2
1717,others,A sketch of John Lennon,3
1718,others,A sketch of John Lennon,4
1719,others,A sketch of John Lennon,5
1720,others,John Lennon in an official photo,1
1721,others,John Lennon in an official photo,2
1722,others,John Lennon in an official photo,3
1723,others,John Lennon in an official photo,4
1724,others,John Lennon in an official photo,5
1725,others,A portrait of Johnny Cash,1
1726,others,A portrait of Johnny Cash,2
1727,others,A portrait of Johnny Cash,3
1728,others,A portrait of Johnny Cash,4
1729,others,A portrait of Johnny Cash,5
1730,others,An image capturing Johnny Cash at a public event,1
1731,others,An image capturing Johnny Cash at a public event,2
1732,others,An image capturing Johnny Cash at a public event,3
1733,others,An image capturing Johnny Cash at a public event,4
1734,others,An image capturing Johnny Cash at a public event,5
1735,others,An oil painting of Johnny Cash,1
1736,others,An oil painting of Johnny Cash,2
1737,others,An oil painting of Johnny Cash,3
1738,others,An oil painting of Johnny Cash,4
1739,others,An oil painting of Johnny Cash,5
1740,others,A sketch of Johnny Cash,1
1741,others,A sketch of Johnny Cash,2
1742,others,A sketch of Johnny Cash,3
1743,others,A sketch of Johnny Cash,4
1744,others,A sketch of Johnny Cash,5
1745,others,Johnny Cash in an official photo,1
1746,others,Johnny Cash in an official photo,2
1747,others,Johnny Cash in an official photo,3
1748,others,Johnny Cash in an official photo,4
1749,others,Johnny Cash in an official photo,5
1750,others,A portrait of Jon Hamm,1
1751,others,A portrait of Jon Hamm,2
1752,others,A portrait of Jon Hamm,3
1753,others,A portrait of Jon Hamm,4
1754,others,A portrait of Jon Hamm,5
1755,others,An image capturing Jon Hamm at a public event,1
1756,others,An image capturing Jon Hamm at a public event,2
1757,others,An image capturing Jon Hamm at a public event,3
1758,others,An image capturing Jon Hamm at a public event,4
1759,others,An image capturing Jon Hamm at a public event,5
1760,others,An oil painting of Jon Hamm,1
1761,others,An oil painting of Jon Hamm,2
1762,others,An oil painting of Jon Hamm,3
1763,others,An oil painting of Jon Hamm,4
1764,others,An oil painting of Jon Hamm,5
1765,others,A sketch of Jon Hamm,1
1766,others,A sketch of Jon Hamm,2
1767,others,A sketch of Jon Hamm,3
1768,others,A sketch of Jon Hamm,4
1769,others,A sketch of Jon Hamm,5
1770,others,Jon Hamm in an official photo,1
1771,others,Jon Hamm in an official photo,2
1772,others,Jon Hamm in an official photo,3
1773,others,Jon Hamm in an official photo,4
1774,others,Jon Hamm in an official photo,5
1775,others,A portrait of Judy Garland,1
1776,others,A portrait of Judy Garland,2
1777,others,A portrait of Judy Garland,3
1778,others,A portrait of Judy Garland,4
1779,others,A portrait of Judy Garland,5
1780,others,An image capturing Judy Garland at a public event,1
1781,others,An image capturing Judy Garland at a public event,2
1782,others,An image capturing Judy Garland at a public event,3
1783,others,An image capturing Judy Garland at a public event,4
1784,others,An image capturing Judy Garland at a public event,5
1785,others,An oil painting of Judy Garland,1
1786,others,An oil painting of Judy Garland,2
1787,others,An oil painting of Judy Garland,3
1788,others,An oil painting of Judy Garland,4
1789,others,An oil painting of Judy Garland,5
1790,others,A sketch of Judy Garland,1
1791,others,A sketch of Judy Garland,2
1792,others,A sketch of Judy Garland,3
1793,others,A sketch of Judy Garland,4
1794,others,A sketch of Judy Garland,5
1795,others,Judy Garland in an official photo,1
1796,others,Judy Garland in an official photo,2
1797,others,Judy Garland in an official photo,3
1798,others,Judy Garland in an official photo,4
1799,others,Judy Garland in an official photo,5
1800,others,A portrait of Julianne Moore,1
1801,others,A portrait of Julianne Moore,2
1802,others,A portrait of Julianne Moore,3
1803,others,A portrait of Julianne Moore,4
1804,others,A portrait of Julianne Moore,5
1805,others,An image capturing Julianne Moore at a public event,1
1806,others,An image capturing Julianne Moore at a public event,2
1807,others,An image capturing Julianne Moore at a public event,3
1808,others,An image capturing Julianne Moore at a public event,4
1809,others,An image capturing Julianne Moore at a public event,5
1810,others,An oil painting of Julianne Moore,1
1811,others,An oil painting of Julianne Moore,2
1812,others,An oil painting of Julianne Moore,3
1813,others,An oil painting of Julianne Moore,4
1814,others,An oil painting of Julianne Moore,5
1815,others,A sketch of Julianne Moore,1
1816,others,A sketch of Julianne Moore,2
1817,others,A sketch of Julianne Moore,3
1818,others,A sketch of Julianne Moore,4
1819,others,A sketch of Julianne Moore,5
1820,others,Julianne Moore in an official photo,1
1821,others,Julianne Moore in an official photo,2
1822,others,Julianne Moore in an official photo,3
1823,others,Julianne Moore in an official photo,4
1824,others,Julianne Moore in an official photo,5
1825,others,A portrait of Justin Bieber,1
1826,others,A portrait of Justin Bieber,2
1827,others,A portrait of Justin Bieber,3
1828,others,A portrait of Justin Bieber,4
1829,others,A portrait of Justin Bieber,5
1830,others,An image capturing Justin Bieber at a public event,1
1831,others,An image capturing Justin Bieber at a public event,2
1832,others,An image capturing Justin Bieber at a public event,3
1833,others,An image capturing Justin Bieber at a public event,4
1834,others,An image capturing Justin Bieber at a public event,5
1835,others,An oil painting of Justin Bieber,1
1836,others,An oil painting of Justin Bieber,2
1837,others,An oil painting of Justin Bieber,3
1838,others,An oil painting of Justin Bieber,4
1839,others,An oil painting of Justin Bieber,5
1840,others,A sketch of Justin Bieber,1
1841,others,A sketch of Justin Bieber,2
1842,others,A sketch of Justin Bieber,3
1843,others,A sketch of Justin Bieber,4
1844,others,A sketch of Justin Bieber,5
1845,others,Justin Bieber in an official photo,1
1846,others,Justin Bieber in an official photo,2
1847,others,Justin Bieber in an official photo,3
1848,others,Justin Bieber in an official photo,4
1849,others,Justin Bieber in an official photo,5
1850,others,A portrait of Kaley Cuoco,1
1851,others,A portrait of Kaley Cuoco,2
1852,others,A portrait of Kaley Cuoco,3
1853,others,A portrait of Kaley Cuoco,4
1854,others,A portrait of Kaley Cuoco,5
1855,others,An image capturing Kaley Cuoco at a public event,1
1856,others,An image capturing Kaley Cuoco at a public event,2
1857,others,An image capturing Kaley Cuoco at a public event,3
1858,others,An image capturing Kaley Cuoco at a public event,4
1859,others,An image capturing Kaley Cuoco at a public event,5
1860,others,An oil painting of Kaley Cuoco,1
1861,others,An oil painting of Kaley Cuoco,2
1862,others,An oil painting of Kaley Cuoco,3
1863,others,An oil painting of Kaley Cuoco,4
1864,others,An oil painting of Kaley Cuoco,5
1865,others,A sketch of Kaley Cuoco,1
1866,others,A sketch of Kaley Cuoco,2
1867,others,A sketch of Kaley Cuoco,3
1868,others,A sketch of Kaley Cuoco,4
1869,others,A sketch of Kaley Cuoco,5
1870,others,Kaley Cuoco in an official photo,1
1871,others,Kaley Cuoco in an official photo,2
1872,others,Kaley Cuoco in an official photo,3
1873,others,Kaley Cuoco in an official photo,4
1874,others,Kaley Cuoco in an official photo,5
1875,others,A portrait of Kate Upton,1
1876,others,A portrait of Kate Upton,2
1877,others,A portrait of Kate Upton,3
1878,others,A portrait of Kate Upton,4
1879,others,A portrait of Kate Upton,5
1880,others,An image capturing Kate Upton at a public event,1
1881,others,An image capturing Kate Upton at a public event,2
1882,others,An image capturing Kate Upton at a public event,3
1883,others,An image capturing Kate Upton at a public event,4
1884,others,An image capturing Kate Upton at a public event,5
1885,others,An oil painting of Kate Upton,1
1886,others,An oil painting of Kate Upton,2
1887,others,An oil painting of Kate Upton,3
1888,others,An oil painting of Kate Upton,4
1889,others,An oil painting of Kate Upton,5
1890,others,A sketch of Kate Upton,1
1891,others,A sketch of Kate Upton,2
1892,others,A sketch of Kate Upton,3
1893,others,A sketch of Kate Upton,4
1894,others,A sketch of Kate Upton,5
1895,others,Kate Upton in an official photo,1
1896,others,Kate Upton in an official photo,2
1897,others,Kate Upton in an official photo,3
1898,others,Kate Upton in an official photo,4
1899,others,Kate Upton in an official photo,5
1900,others,A portrait of Keanu Reeves,1
1901,others,A portrait of Keanu Reeves,2
1902,others,A portrait of Keanu Reeves,3
1903,others,A portrait of Keanu Reeves,4
1904,others,A portrait of Keanu Reeves,5
1905,others,An image capturing Keanu Reeves at a public event,1
1906,others,An image capturing Keanu Reeves at a public event,2
1907,others,An image capturing Keanu Reeves at a public event,3
1908,others,An image capturing Keanu Reeves at a public event,4
1909,others,An image capturing Keanu Reeves at a public event,5
1910,others,An oil painting of Keanu Reeves,1
1911,others,An oil painting of Keanu Reeves,2
1912,others,An oil painting of Keanu Reeves,3
1913,others,An oil painting of Keanu Reeves,4
1914,others,An oil painting of Keanu Reeves,5
1915,others,A sketch of Keanu Reeves,1
1916,others,A sketch of Keanu Reeves,2
1917,others,A sketch of Keanu Reeves,3
1918,others,A sketch of Keanu Reeves,4
1919,others,A sketch of Keanu Reeves,5
1920,others,Keanu Reeves in an official photo,1
1921,others,Keanu Reeves in an official photo,2
1922,others,Keanu Reeves in an official photo,3
1923,others,Keanu Reeves in an official photo,4
1924,others,Keanu Reeves in an official photo,5
1925,others,A portrait of Kim Jong Un,1
1926,others,A portrait of Kim Jong Un,2
1927,others,A portrait of Kim Jong Un,3
1928,others,A portrait of Kim Jong Un,4
1929,others,A portrait of Kim Jong Un,5
1930,others,An image capturing Kim Jong Un at a public event,1
1931,others,An image capturing Kim Jong Un at a public event,2
1932,others,An image capturing Kim Jong Un at a public event,3
1933,others,An image capturing Kim Jong Un at a public event,4
1934,others,An image capturing Kim Jong Un at a public event,5
1935,others,An oil painting of Kim Jong Un,1
1936,others,An oil painting of Kim Jong Un,2
1937,others,An oil painting of Kim Jong Un,3
1938,others,An oil painting of Kim Jong Un,4
1939,others,An oil painting of Kim Jong Un,5
1940,others,A sketch of Kim Jong Un,1
1941,others,A sketch of Kim Jong Un,2
1942,others,A sketch of Kim Jong Un,3
1943,others,A sketch of Kim Jong Un,4
1944,others,A sketch of Kim Jong Un,5
1945,others,Kim Jong Un in an official photo,1
1946,others,Kim Jong Un in an official photo,2
1947,others,Kim Jong Un in an official photo,3
1948,others,Kim Jong Un in an official photo,4
1949,others,Kim Jong Un in an official photo,5
1950,others,A portrait of Kirsten Dunst,1
1951,others,A portrait of Kirsten Dunst,2
1952,others,A portrait of Kirsten Dunst,3
1953,others,A portrait of Kirsten Dunst,4
1954,others,A portrait of Kirsten Dunst,5
1955,others,An image capturing Kirsten Dunst at a public event,1
1956,others,An image capturing Kirsten Dunst at a public event,2
1957,others,An image capturing Kirsten Dunst at a public event,3
1958,others,An image capturing Kirsten Dunst at a public event,4
1959,others,An image capturing Kirsten Dunst at a public event,5
1960,others,An oil painting of Kirsten Dunst,1
1961,others,An oil painting of Kirsten Dunst,2
1962,others,An oil painting of Kirsten Dunst,3
1963,others,An oil painting of Kirsten Dunst,4
1964,others,An oil painting of Kirsten Dunst,5
1965,others,A sketch of Kirsten Dunst,1
1966,others,A sketch of Kirsten Dunst,2
1967,others,A sketch of Kirsten Dunst,3
1968,others,A sketch of Kirsten Dunst,4
1969,others,A sketch of Kirsten Dunst,5
1970,others,Kirsten Dunst in an official photo,1
1971,others,Kirsten Dunst in an official photo,2
1972,others,Kirsten Dunst in an official photo,3
1973,others,Kirsten Dunst in an official photo,4
1974,others,Kirsten Dunst in an official photo,5
1975,others,A portrait of Kristen Stewart,1
1976,others,A portrait of Kristen Stewart,2
1977,others,A portrait of Kristen Stewart,3
1978,others,A portrait of Kristen Stewart,4
1979,others,A portrait of Kristen Stewart,5
1980,others,An image capturing Kristen Stewart at a public event,1
1981,others,An image capturing Kristen Stewart at a public event,2
1982,others,An image capturing Kristen Stewart at a public event,3
1983,others,An image capturing Kristen Stewart at a public event,4
1984,others,An image capturing Kristen Stewart at a public event,5
1985,others,An oil painting of Kristen Stewart,1
1986,others,An oil painting of Kristen Stewart,2
1987,others,An oil painting of Kristen Stewart,3
1988,others,An oil painting of Kristen Stewart,4
1989,others,An oil painting of Kristen Stewart,5
1990,others,A sketch of Kristen Stewart,1
1991,others,A sketch of Kristen Stewart,2
1992,others,A sketch of Kristen Stewart,3
1993,others,A sketch of Kristen Stewart,4
1994,others,A sketch of Kristen Stewart,5
1995,others,Kristen Stewart in an official photo,1
1996,others,Kristen Stewart in an official photo,2
1997,others,Kristen Stewart in an official photo,3
1998,others,Kristen Stewart in an official photo,4
1999,others,Kristen Stewart in an official photo,5
2000,others,A portrait of Krysten Ritter,1
2001,others,A portrait of Krysten Ritter,2
2002,others,A portrait of Krysten Ritter,3
2003,others,A portrait of Krysten Ritter,4
2004,others,A portrait of Krysten Ritter,5
2005,others,An image capturing Krysten Ritter at a public event,1
2006,others,An image capturing Krysten Ritter at a public event,2
2007,others,An image capturing Krysten Ritter at a public event,3
2008,others,An image capturing Krysten Ritter at a public event,4
2009,others,An image capturing Krysten Ritter at a public event,5
2010,others,An oil painting of Krysten Ritter,1
2011,others,An oil painting of Krysten Ritter,2
2012,others,An oil painting of Krysten Ritter,3
2013,others,An oil painting of Krysten Ritter,4
2014,others,An oil painting of Krysten Ritter,5
2015,others,A sketch of Krysten Ritter,1
2016,others,A sketch of Krysten Ritter,2
2017,others,A sketch of Krysten Ritter,3
